,温度,装料方式,Co,SiO2,HAP,乙醇浓度,乙醇转化率,乙烯选择性,C4烯烃选择性,乙醛选择性,碳数为4-12脂肪醇选择性,甲基苯甲醛和甲基苯甲醇选择性,其他生成物的选择性
11,548.15,0,1.9801980198019803e-06,0.00019801980198019803,0.0002,1.5e-08,0.192369353731673,0.0033,0.08039999999999999,0.0171,0.8207,0.0288,0.049699999999999994
12,573.15,0,1.9801980198019803e-06,0.00019801980198019803,0.0002,1.5e-08,0.292502335391358,0.0070999999999999995,0.17010000000000003,0.0363,0.669,0.0318,0.0857
13,598.15,0,1.9801980198019803e-06,0.00019801980198019803,0.0002,1.5e-08,0.375791851341654,0.0183,0.2872,0.0572,0.49770000000000003,0.0344,0.1052
14,623.15,0,1.9801980198019803e-06,0.00019801980198019803,0.0002,1.5e-08,0.489370446484212,0.0285,0.3685,0.0723,0.3829,0.0351,0.1127
15,673.15,0,1.9801980198019803e-06,0.00019801980198019803,0.0002,1.5e-08,0.8371338157607541,0.0676,0.5343,0.0895,0.1437,0.0338,0.1311
16,723.15,0,1.9801980198019803e-06,0.00019801980198019803,0.0002,1.5e-08,0.864097027402944,0.1484,0.499,0.0839,0.1241,0.0209,0.12369999999999999
17,523.15,0,9.950248756218909e-07,0.00019900497512437813,0.0002,2.7999999999999996e-08,0.040193913236899005,0.0027,0.0962,0.0149,0.7951,0.0653,0.0258
18,548.15,0,9.950248756218909e-07,0.00019900497512437813,0.0002,2.7999999999999996e-08,0.120977578656973,0.0036,0.0862,0.0166,0.8144,0.0518,0.0274
19,573.15,0,9.950248756218909e-07,0.00019900497512437813,0.0002,2.7999999999999996e-08,0.294765641102885,0.0054,0.1072,0.0241,0.7631999999999999,0.0588,0.041299999999999996
20,598.15,0,9.950248756218909e-07,0.00019900497512437813,0.0002,2.7999999999999996e-08,0.433256219763485,0.0102,0.1889,0.044199999999999996,0.5965,0.0764,0.08380000000000001
21,623.15,0,9.950248756218909e-07,0.00019900497512437813,0.0002,2.7999999999999996e-08,0.604684283526454,0.0223,0.2725,0.068,0.45,0.0873,0.0999
22,673.15,0,9.950248756218909e-07,0.00019900497512437813,0.0002,2.7999999999999996e-08,0.8843934444398149,0.036699999999999997,0.4102,0.1082,0.16469999999999999,0.1051,0.1751
23,523.15,0,3.921568627450981e-06,0.00019607843137254904,0.0002,4.999999999999999e-09,0.147871833611187,0.0014000000000000002,0.0196,0.0327,0.8842,0.0336,0.0285
24,548.15,0,3.921568627450981e-06,0.00019607843137254904,0.0002,4.999999999999999e-09,0.124240108083889,0.0019,0.0665,0.1127,0.7005,0.057699999999999994,0.060700000000000004
25,573.15,0,3.921568627450981e-06,0.00019607843137254904,0.0002,4.999999999999999e-09,0.208085764699292,0.0074,0.1012,0.1318,0.6245,0.056600000000000004,0.0785
26,598.15,0,3.921568627450981e-06,0.00019607843137254904,0.0002,4.999999999999999e-09,0.283488858758218,0.011399999999999999,0.1386,0.1583,0.5628,0.0292,0.09970000000000001
27,623.15,0,3.921568627450981e-06,0.00019607843137254904,0.0002,4.999999999999999e-09,0.36811578947555096,0.0311,0.1875,0.1616,0.48,0.0436,0.0962
28,673.15,0,3.921568627450981e-06,0.00019607843137254904,0.0002,4.999999999999999e-09,0.760198321376534,0.0638,0.3823,0.0964,0.2572,0.0371,0.1632
29,523.15,0,9.523809523809525e-06,0.00019047619047619048,0.0002,2.7999999999999996e-08,0.133893967283351,0.002,0.033,0.1159,0.8023,0.0104,0.0364
30,548.15,0,9.523809523809525e-06,0.00019047619047619048,0.0002,2.7999999999999996e-08,0.12780990768999,0.0038,0.071,0.2667,0.557,0.0202,0.08130000000000001
31,573.15,0,9.523809523809525e-06,0.00019047619047619048,0.0002,2.7999999999999996e-08,0.25479216201846,0.0146,0.0718,0.2851,0.5107,0.0212,0.0966
32,623.15,0,9.523809523809525e-06,0.00019047619047619048,0.0002,2.7999999999999996e-08,0.557550272411716,0.1449,0.1065,0.4275,0.19829999999999998,0.0374,0.08539999999999999
33,673.15,0,9.523809523809525e-06,0.00019047619047619048,0.0002,2.7999999999999996e-08,0.8334761617588249,0.061799999999999994,0.37329999999999997,0.16079999999999997,0.1948,0.0761,0.1332
34,523.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,4.999999999999999e-09,0.196562914186116,0.0018,0.0575,0.0369,0.8726,0.0,0.031200000000000002
35,548.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,4.999999999999999e-09,0.29044956254083,0.0031,0.06559999999999999,0.0327,0.8443,0.0,0.054299999999999994
36,573.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,4.999999999999999e-09,0.39984366192241505,0.005699999999999999,0.08839999999999999,0.0398,0.7998999999999999,0.0,0.0662
37,623.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,4.999999999999999e-09,0.5860499677861629,0.022799999999999997,0.1864,0.0823,0.45039999999999997,0.032400000000000005,0.2257
38,673.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,4.999999999999999e-09,0.760274161977392,0.08310000000000001,0.3325,0.0579,0.2457,0.0676,0.2132
39,523.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,1.5e-08,0.0626573693340327,0.0014000000000000002,0.056299999999999996,0.0159,0.865,0.0,0.061399999999999996
40,548.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,1.5e-08,0.0876156996024858,0.002,0.0852,0.0431,0.8226,0.0,0.0471
41,573.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,1.5e-08,0.131790478809351,0.0052,0.1382,0.046,0.7279000000000001,0.0,0.0827
42,623.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,1.5e-08,0.317206628928351,0.014499999999999999,0.2589,0.0415,0.4852,0.0225,0.17739999999999997
43,673.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,1.5e-08,0.561163898081809,0.064,0.4142,0.0432,0.2415,0.0,0.2371
44,523.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,3.5e-08,0.0205316160924955,0.0016,0.054000000000000006,0.0499,0.8193,0.0,0.07519999999999999
45,548.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,3.5e-08,0.0300257162012393,0.0033,0.0968,0.0466,0.7509,0.0,0.1024
46,573.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,3.5e-08,0.047292006301105693,0.0053,0.161,0.0508,0.6102000000000001,0.015700000000000002,0.157
47,623.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,3.5e-08,0.133927447682896,0.028399999999999998,0.3104,0.0375,0.39289999999999997,0.0209,0.20989999999999998
48,673.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,3.5e-08,0.40797162899902295,0.0636,0.4204,0.0471,0.2707,0.0,0.19820000000000002
49,523.15,0,2.380952380952381e-06,4.761904761904762e-05,5e-05,3.5e-08,0.0031996396593377803,0.0106,0.0219,0.1249,0.8306,0.0,0.012
50,548.15,0,2.380952380952381e-06,4.761904761904762e-05,5e-05,3.5e-08,0.0101545342802349,0.0058,0.0165,0.0467,0.9277,0.0,0.0033
51,573.15,0,2.380952380952381e-06,4.761904761904762e-05,5e-05,3.5e-08,0.0168467573268495,0.008,0.0217,0.057999999999999996,0.9031999999999999,0.0,0.0091
52,623.15,0,2.380952380952381e-06,4.761904761904762e-05,5e-05,3.5e-08,0.0901884092947588,0.008100000000000001,0.033,0.043,0.8898,0.006999999999999999,0.0191
53,673.15,0,2.380952380952381e-06,4.761904761904762e-05,5e-05,3.5e-08,0.285943907570513,0.019299999999999998,0.10289999999999999,0.0368,0.792,0.0,0.049
54,523.15,0,4.950495049504951e-07,0.00013950495049504951,0.0,2.7999999999999996e-08,0.00227691554459886,0.021400000000000002,0.001,0.9776,0.0,0.0,0.0
55,548.15,0,4.950495049504951e-07,0.00013950495049504951,0.0,2.7999999999999996e-08,0.0051631204222278805,0.028300000000000002,0.01,0.9475,0.0,0.0,0.014199999999999999
56,573.15,0,4.950495049504951e-07,0.00013950495049504951,0.0,2.7999999999999996e-08,0.016075527765518502,0.032400000000000005,0.0182,0.9376000000000001,0.0,0.0,0.0118
57,623.15,0,4.950495049504951e-07,0.00013950495049504951,0.0,2.7999999999999996e-08,0.08207581126989061,0.0761,0.0435,0.8583,0.0,0.0,0.022099999999999998
58,673.15,0,4.950495049504951e-07,0.00013950495049504951,0.0,2.7999999999999996e-08,0.325934981167189,0.1335,0.0793,0.7503,0.0,0.0,0.0369
59,523.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,2.7999999999999996e-08,0.0144170934251802,0.0014000000000000002,0.0617,0.0348,0.8143,0.0745,0.013300000000000001
60,548.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,2.7999999999999996e-08,0.0347363039678394,0.0018,0.08109999999999999,0.042,0.8,0.053,0.022099999999999998
61,573.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,2.7999999999999996e-08,0.06914387607182,0.0043,0.11220000000000001,0.0883,0.7128,0.053399999999999996,0.028999999999999998
62,623.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,2.7999999999999996e-08,0.199122976584978,0.011699999999999999,0.22260000000000002,0.1348,0.465,0.056600000000000004,0.1093
63,673.15,0,4.950495049504951e-07,4.950495049504951e-05,5e-05,2.7999999999999996e-08,0.44534966735128,0.0363,0.363,0.1625,0.2579,0.053200000000000004,0.12710000000000002
64,523.15,0,6.633663366336634e-07,6.633663366336634e-05,3.3e-05,2.7999999999999996e-08,0.0134694843685351,0.0031,0.0519,0.053899999999999997,0.7959999999999999,0.0687,0.0264
65,548.15,0,6.633663366336634e-07,6.633663366336634e-05,3.3e-05,2.7999999999999996e-08,0.023054559848032497,0.0066,0.0762,0.0767,0.7474,0.0591,0.034
66,573.15,0,6.633663366336634e-07,6.633663366336634e-05,3.3e-05,2.7999999999999996e-08,0.0406672930913986,0.012,0.1274,0.19649999999999998,0.5539999999999999,0.0487,0.061399999999999996
67,623.15,0,6.633663366336634e-07,6.633663366336634e-05,3.3e-05,2.7999999999999996e-08,0.146387758329042,0.0253,0.2346,0.2642,0.3099,0.0352,0.1308
68,673.15,0,6.633663366336634e-07,6.633663366336634e-05,3.3e-05,2.7999999999999996e-08,0.40047154305474003,0.0519,0.2791,0.2473,0.2205,0.0385,0.16269999999999998
69,523.15,0,3.2673267326732674e-07,3.2673267326732674e-05,6.7e-05,2.7999999999999996e-08,0.024926886124749102,0.0014000000000000002,0.0189,0.0263,0.9074,0.0318,0.014199999999999999
70,548.15,0,3.2673267326732674e-07,3.2673267326732674e-05,6.7e-05,2.7999999999999996e-08,0.0533483516226759,0.0014000000000000002,0.0255,0.027999999999999997,0.897,0.0285,0.0196
71,573.15,0,3.2673267326732674e-07,3.2673267326732674e-05,6.7e-05,2.7999999999999996e-08,0.10152036257439301,0.0025,0.0361,0.0407,0.8512000000000001,0.034300000000000004,0.0352
72,623.15,0,3.2673267326732674e-07,3.2673267326732674e-05,6.7e-05,2.7999999999999996e-08,0.24031898555110198,0.0104,0.10830000000000001,0.0625,0.701,0.045899999999999996,0.0719
73,673.15,0,3.2673267326732674e-07,3.2673267326732674e-05,6.7e-05,2.7999999999999996e-08,0.536152568624797,0.0292,0.223,0.0722,0.49310000000000004,0.0748,0.10769999999999999
74,523.15,1,4.950495049504951e-07,4.950495049504951e-05,5e-05,2.7999999999999996e-08,0.0140818182615844,0.001,0.0632,0.057,0.8340000000000001,0.0,0.044800000000000006
75,548.15,1,4.950495049504951e-07,4.950495049504951e-05,5e-05,2.7999999999999996e-08,0.0341791391326378,0.0019,0.0825,0.0403,0.8134999999999999,0.0,0.061799999999999994
76,573.15,1,4.950495049504951e-07,4.950495049504951e-05,5e-05,2.7999999999999996e-08,0.0672372576152924,0.0045000000000000005,0.12279999999999999,0.041100000000000005,0.7345,0.0,0.0971
77,623.15,1,4.950495049504951e-07,4.950495049504951e-05,5e-05,2.7999999999999996e-08,0.19309262625122903,0.012199999999999999,0.2597,0.044000000000000004,0.4832,0.024399999999999998,0.1765
78,673.15,1,4.950495049504951e-07,4.950495049504951e-05,5e-05,2.7999999999999996e-08,0.43595444389466004,0.0377,0.4108,0.041299999999999996,0.26789999999999997,0.0195,0.2228
79,523.15,1,9.900990099009902e-07,9.900990099009902e-05,0.0001,2.7999999999999996e-08,0.027630241573375902,0.002,0.0326,0.0278,0.8953,0.0,0.042300000000000004
80,548.15,1,9.900990099009902e-07,9.900990099009902e-05,0.0001,2.7999999999999996e-08,0.0440266107173201,0.0032,0.049699999999999994,0.0392,0.8320000000000001,0.0,0.0759
81,573.15,1,9.900990099009902e-07,9.900990099009902e-05,0.0001,2.7999999999999996e-08,0.062235627501871706,0.0072,0.0932,0.0521,0.7137,0.030899999999999997,0.10289999999999999
82,623.15,1,9.900990099009902e-07,9.900990099009902e-05,0.0001,2.7999999999999996e-08,0.161870321046694,0.021099999999999997,0.2288,0.060700000000000004,0.4739,0.047400000000000005,0.1681
83,673.15,1,9.900990099009902e-07,9.900990099009902e-05,0.0001,2.7999999999999996e-08,0.451352390825493,0.081,0.387,0.0712,0.2422,0.0434,0.1752
84,523.15,1,9.900990099009901e-08,9.900990099009901e-06,1e-05,2.7999999999999996e-08,0.00394774301814516,0.0031,0.0285,0.1898,0.7681,0.0,0.0105
85,548.15,1,9.900990099009901e-08,9.900990099009901e-06,1e-05,2.7999999999999996e-08,0.00615197832146397,0.0042,0.0535,0.1979,0.7356,0.0,0.0088
86,573.15,1,9.900990099009901e-08,9.900990099009901e-06,1e-05,2.7999999999999996e-08,0.0114894845380593,0.0074,0.0761,0.1986,0.7006999999999999,0.0,0.0172
87,598.15,1,9.900990099009901e-08,9.900990099009901e-06,1e-05,2.7999999999999996e-08,0.032852128439375704,0.0116,0.0774,0.1661,0.6757,0.0377,0.0315
88,623.15,1,9.900990099009901e-08,9.900990099009901e-06,1e-05,2.7999999999999996e-08,0.0601029955582901,0.0181,0.1381,0.2027,0.5338,0.0464,0.060899999999999996
89,673.15,1,9.900990099009901e-08,9.900990099009901e-06,1e-05,2.7999999999999996e-08,0.21100130312678497,0.0379,0.2121,0.1972,0.3951,0.048799999999999996,0.10890000000000001
90,523.15,1,2.4752475247524754e-07,2.4752475247524754e-05,2.5e-05,2.7999999999999996e-08,0.00543983713140717,0.001,0.0662,0.0691,0.8218000000000001,0.04190000000000001,0.0
91,548.15,1,2.4752475247524754e-07,2.4752475247524754e-05,2.5e-05,2.7999999999999996e-08,0.0111315662843161,0.0032,0.0662,0.029300000000000003,0.8306,0.019299999999999998,0.051399999999999994
92,573.15,1,2.4752475247524754e-07,2.4752475247524754e-05,2.5e-05,2.7999999999999996e-08,0.030149849767286598,0.0031,0.050499999999999996,0.08470000000000001,0.7811,0.0404,0.04019999999999999
93,598.15,1,2.4752475247524754e-07,2.4752475247524754e-05,2.5e-05,2.7999999999999996e-08,0.06055177689401171,0.0069,0.0833,0.1229,0.7048000000000001,0.038900000000000004,0.0432
94,623.15,1,2.4752475247524754e-07,2.4752475247524754e-05,2.5e-05,2.7999999999999996e-08,0.09643361266962369,0.0076,0.131,0.1426,0.5975,0.038900000000000004,0.0824
95,673.15,1,2.4752475247524754e-07,2.4752475247524754e-05,2.5e-05,2.7999999999999996e-08,0.33489595528113497,0.0268,0.2145,0.1515,0.43119999999999997,0.0521,0.12390000000000001
96,523.15,1,4.950495049504951e-07,4.950495049504951e-05,5e-05,3.5e-08,0.0212124689485722,0.0018,0.043,0.0398,0.8481000000000001,0.047599999999999996,0.0197
97,548.15,1,4.950495049504951e-07,4.950495049504951e-05,5e-05,3.5e-08,0.0383357052176252,0.0034999999999999996,0.0506,0.0767,0.7813,0.042199999999999994,0.045700000000000005
98,573.15,1,4.950495049504951e-07,4.950495049504951e-05,5e-05,3.5e-08,0.0581212036583176,0.004699999999999999,0.07919999999999999,0.1404,0.6689,0.0441,0.06269999999999999
99,598.15,1,4.950495049504951e-07,4.950495049504951e-05,5e-05,3.5e-08,0.097842849683418,0.0077,0.11689999999999999,0.1462,0.5929,0.0528,0.08349999999999999
100,623.15,1,4.950495049504951e-07,4.950495049504951e-05,5e-05,3.5e-08,0.15863261285910402,0.015700000000000002,0.1534,0.1503,0.5341,0.0414,0.1051
101,673.15,1,4.950495049504951e-07,4.950495049504951e-05,5e-05,3.5e-08,0.449818815507988,0.0393,0.2583,0.1382,0.36869999999999997,0.0616,0.13390000000000002
102,523.15,1,7.425742574257425e-07,7.425742574257426e-05,7.5e-05,2.7999999999999996e-08,0.027681694785164003,0.0023,0.045,0.0197,0.8515999999999999,0.0487,0.0327
103,548.15,1,7.425742574257425e-07,7.425742574257426e-05,7.5e-05,2.7999999999999996e-08,0.0751025282890253,0.0015,0.0479,0.0216,0.8683,0.0382,0.0225
104,573.15,1,7.425742574257425e-07,7.425742574257426e-05,7.5e-05,2.7999999999999996e-08,0.126192375239931,0.005,0.0877,0.0481,0.7490000000000001,0.050499999999999996,0.059699999999999996
105,598.15,1,7.425742574257425e-07,7.425742574257426e-05,7.5e-05,2.7999999999999996e-08,0.15858964133078401,0.0104,0.1606,0.07440000000000001,0.5798,0.0675,0.1073
106,623.15,1,7.425742574257425e-07,7.425742574257426e-05,7.5e-05,2.7999999999999996e-08,0.270309632091066,0.009899999999999999,0.2241,0.09949999999999999,0.4826,0.0444,0.13949999999999999
107,673.15,1,7.425742574257425e-07,7.425742574257426e-05,7.5e-05,2.7999999999999996e-08,0.632452382390403,0.041100000000000005,0.3048,0.1112,0.349,0.0471,0.14679999999999999
108,523.15,1,9.900990099009902e-07,9.900990099009902e-05,0.0001,1.5e-08,0.044000000000000004,0.0013,0.0408,0.0204,0.8601000000000001,0.0479,0.029500000000000002
109,548.15,1,9.900990099009902e-07,9.900990099009902e-05,0.0001,1.5e-08,0.079,0.0015,0.0662,0.0349,0.7979,0.0567,0.042800000000000005
110,573.15,1,9.900990099009902e-07,9.900990099009902e-05,0.0001,1.5e-08,0.11699999999999999,0.002,0.1286,0.0647,0.6801999999999999,0.06709999999999999,0.0574
111,598.15,1,9.900990099009902e-07,9.900990099009902e-05,0.0001,1.5e-08,0.17800000000000002,0.014199999999999999,0.1845,0.0794,0.5912,0.07139999999999999,0.0593
112,623.15,1,9.900990099009902e-07,9.900990099009902e-05,0.0001,1.5e-08,0.302,0.015300000000000001,0.2505,0.10300000000000001,0.4936,0.063,0.0746
113,673.15,1,9.900990099009902e-07,9.900990099009902e-05,0.0001,1.5e-08,0.6940000000000001,0.025099999999999997,0.38170000000000004,0.1396,0.2664,0.0471,0.1401
